time,actual,predicted,match,counter,b4,b5,b6,b7,rpm,stat,dyn
440016,192,30,False,10,148,100,4,64,4097.0,230,83
440027,192,30,False,11,148,100,44,64,4107.0,230,83
440037,192,30,False,12,148,100,54,64,4109.5,232,84
440046,192,30,False,13,148,100,46,64,4107.5,232,84
440057,192,30,False,14,148,100,92,64,4119.0,232,84
440066,192,30,False,15,148,100,106,64,4122.5,232,85
440077,192,30,False,0,148,100,122,64,4126.5,232,84
440086,192,30,False,1,148,100,166,64,4137.5,233,84
440097,192,30,False,2,148,100,196,64,4145.0,234,85
440106,192,30,False,3,148,100,208,64,4148.0,234,85
440116,192,30,False,4,148,100,232,64,4154.0,234,85
440127,192,30,False,5,148,100,242,64,4156.5,234,85
440136,192,30,False,6,148,100,16,65,4164.0,236,86
440147,192,30,False,7,148,100,56,65,4174.0,236,86
440156,192,30,False,8,148,100,64,65,4176.0,236,86
440167,192,30,False,9,148,100,114,65,4188.5,237,86
440176,192,30,False,10,148,100,140,65,4195.0,237,86
440187,192,30,False,11,148,100,170,65,4202.5,238,86
440197,192,30,False,12,148,100,206,65,4211.5,238,86
440207,192,30,False,13,148,100,230,65,4217.5,238,86
440216,192,30,False,14,149,100,244,65,4221.0,238,87
440227,192,30,False,15,149,100,32,66,4232.0,239,87
440237,192,30,False,0,149,100,42,66,4234.5,241,87
440247,192,30,False,1,149,100,62,66,4239.5,241,87
440256,192,30,False,2,149,100,104,66,4250.0,241,87
440266,192,30,False,3,149,100,126,66,4255.5,241,87
440277,192,30,False,4,149,100,150,66,4261.5,241,87
440286,192,30,False,5,149,100,192,66,4272.0,243,87
440297,192,30,False,6,149,100,238,66,4283.5,243,88
440306,192,30,False,7,149,100,10,67,4290.5,244,88
440317,192,30,False,8,149,100,50,67,4300.5,244,88
440327,192,30,False,9,149,100,66,67,4304.5,244,88
440336,192,30,False,10,149,100,118,67,4317.5,245,88
440346,192,30,False,11,149,100,140,67,4323.0,245,88
440357,192,30,False,12,149,100,108,66,4251.0,245,88
440367,192,30,False,13,149,100,22,65,4165.5,241,87
440376,192,30,False,14,149,100,22,64,4101.5,241,87
444036,192,30,False,12,149,100,10,64,4098.5,237,89
444047,192,30,False,13,149,100,8,64,4098.0,237,89
444056,192,30,False,14,149,100,38,64,4105.5,237,90
444066,192,30,False,15,149,100,50,64,4108.5,238,90
444077,192,30,False,0,149,100,44,64,4107.0,238,90
444086,192,30,False,1,149,100,60,64,4111.0,238,90
444097,192,30,False,2,149,100,68,64,4113.0,239,90
444106,192,30,False,3,149,100,74,64,4114.5,239,90
444116,192,30,False,4,149,100,86,64,4117.5,239,90
444127,192,30,False,5,149,100,106,64,4122.5,239,90
444136,192,30,False,6,149,100,114,64,4124.5,239,90
444147,192,30,False,7,149,100,132,64,4129.0,239,90
444156,192,30,False,8,149,100,146,64,4132.5,239,90
