time,actual,predicted,delta,counter,b0,b1,b2,b3,b4,b5,b6,b7,rpm,stat,dyn
429026,116,37,81,15,246,223,191,207,126,95,72,29,1874.0,125,-2
429036,116,37,81,0,88,208,159,207,126,95,208,29,1908.0,124,-2
429046,116,37,81,1,201,209,223,207,126,95,102,30,1945.5,126,-2
429056,167,246,81,2,225,210,31,208,126,95,252,30,1983.0,128,-2
429066,18,246,228,3,55,211,63,208,126,94,140,31,2019.0,129,-2
429077,88,188,228,4,152,212,127,208,126,94,30,32,2055.5,131,-2
429086,168,188,20,5,125,213,31,145,126,93,194,32,2096.5,136,-3
429096,168,188,20,6,77,214,31,145,126,93,68,33,2129.0,136,-3
429106,168,188,20,7,87,215,63,145,126,93,152,33,2150.0,137,-3
429116,168,188,20,8,63,216,63,81,126,93,202,33,2162.5,137,-4
429126,88,188,228,9,93,217,63,81,126,94,218,33,2166.5,137,-4
429136,88,188,228,10,151,218,127,81,126,94,192,33,2160.0,139,-4
429145,88,188,228,11,68,219,127,81,126,94,160,33,2152.0,139,-4
429156,88,188,228,12,85,220,127,81,126,94,144,33,2148.0,139,-4
429166,237,188,81,13,228,221,127,81,126,95,102,33,2137.5,139,-4
429176,237,188,81,14,38,222,127,81,126,95,110,33,2139.5,139,-4
432586,57,246,207,3,38,211,63,80,124,98,92,30,1943.0,129,-12
432596,57,246,207,4,159,212,127,16,124,98,206,30,1971.5,131,-13
432606,57,246,207,5,208,213,159,80,124,98,84,31,2005.0,132,-12
432616,57,246,207,6,165,214,191,144,124,98,218,31,2038.5,133,-11
440016,192,30,222,10,45,218,223,28,148,100,4,64,4097.0,230,83
440027,192,30,222,11,127,219,223,28,148,100,44,64,4107.0,230,83
440037,192,30,222,12,175,220,31,93,148,100,54,64,4109.5,232,84
440046,192,30,222,13,44,221,31,93,148,100,46,64,4107.5,232,84
440057,192,30,222,14,124,222,31,93,148,100,92,64,4119.0,232,84
440066,192,30,222,15,159,223,31,157,148,100,106,64,4122.5,232,85
440077,192,30,222,0,80,208,31,93,148,100,122,64,4126.5,232,84
440086,192,30,222,1,37,209,63,93,148,100,166,64,4137.5,233,84
440097,192,30,222,2,14,210,95,157,148,100,196,64,4145.0,234,85
440106,192,30,222,3,57,211,95,157,148,100,208,64,4148.0,234,85
440116,192,30,222,4,234,212,95,157,148,100,232,64,4154.0,234,85
440127,192,30,222,5,12,213,95,157,148,100,242,64,4156.5,234,85
440136,192,30,222,6,12,214,159,221,148,100,16,65,4164.0,236,86
440147,192,30,222,7,134,215,159,221,148,100,56,65,4174.0,236,86
440156,192,30,222,8,42,216,159,221,148,100,64,65,4176.0,236,86
