time,actual,predicted,delta,counter,b0,b1,b2,b3,b4,b5,b6,b7,rpm,stat,dyn
304295,30,30,0,6,59,214,63,27,144,100,250,41,2686.5,217,67
304305,30,30,0,7,245,215,63,27,144,100,24,42,2694.0,217,67
304315,30,30,0,8,239,216,63,27,144,100,28,42,2695.0,217,67
304326,30,30,0,9,30,217,63,27,144,100,54,42,2701.5,217,67
304335,30,30,0,10,93,218,63,27,144,100,52,42,2701.0,217,67
304345,30,30,0,11,196,219,63,27,144,100,58,42,2702.5,217,67
304356,30,30,0,12,198,220,63,27,144,100,56,42,2702.0,217,67
304365,30,30,0,13,213,221,63,27,144,100,56,42,2702.0,217,67
304374,30,30,0,14,67,222,63,27,144,100,62,42,2703.5,217,67
304385,30,30,0,15,25,223,255,26,144,100,64,42,2704.0,215,67
304395,30,30,0,0,169,208,255,26,144,100,84,42,2709.0,215,67
304405,30,30,0,1,91,209,31,27,144,100,94,42,2711.5,216,67
304415,30,30,0,2,12,210,31,27,144,100,112,42,2716.0,216,67
304425,30,30,0,3,143,211,31,27,144,100,122,42,2718.5,216,67
304435,30,30,0,4,219,212,223,26,144,100,148,42,2725.0,214,67
304445,30,30,0,5,37,213,255,26,144,100,164,42,2729.0,215,67
304455,30,30,0,6,189,214,255,26,144,100,184,42,2734.0,215,67
304466,30,30,0,7,58,215,255,26,144,100,194,42,2736.5,215,67
304475,30,30,0,8,248,216,255,26,144,100,210,42,2740.5,215,67
304485,30,30,0,9,174,217,255,26,144,100,212,42,2741.0,215,67
304495,30,30,0,10,89,218,255,26,144,100,200,42,2738.0,215,67
304505,30,30,0,11,32,219,255,26,144,100,214,42,2741.5,215,67
304515,30,30,0,12,62,220,255,26,144,100,214,42,2741.5,215,67
304525,30,30,0,13,250,221,255,26,144,100,242,42,2748.5,215,67
304535,30,30,0,14,224,222,255,26,144,100,238,42,2747.5,215,67
304545,30,30,0,15,73,223,255,26,144,100,12,43,2755.0,215,67
304556,30,30,0,0,177,208,255,26,144,100,20,43,2757.0,215,67
304566,30,30,0,1,168,209,255,26,144,100,46,43,2763.5,215,67
304575,30,30,0,2,240,210,255,26,144,100,48,43,2764.0,215,67
304585,30,30,0,3,75,211,255,26,144,100,62,43,2767.5,215,67
304595,30,30,0,4,3,212,31,27,144,100,62,43,2767.5,216,67
304605,30,30,0,5,77,213,31,27,144,100,56,43,2766.0,216,67
304615,30,30,0,6,205,214,255,26,144,100,54,43,2765.5,215,67
304625,30,30,0,7,29,215,31,91,144,100,52,43,2765.0,216,68
304636,30,30,0,8,114,216,31,27,144,100,60,43,2767.0,216,67
304645,30,30,0,9,28,217,31,27,144,100,62,43,2767.5,216,67
304655,30,30,0,10,88,218,31,91,144,100,90,43,2774.5,216,68
304665,30,30,0,11,221,219,31,91,144,100,86,43,2773.5,216,68
304675,30,30,0,12,17,220,31,27,144,100,118,43,2781.5,216,67
304685,30,30,0,13,110,221,31,27,144,100,124,43,2783.0,216,67
304695,30,30,0,14,50,222,31,91,144,100,156,43,2791.0,216,68
304705,30,30,0,15,230,223,31,91,144,100,162,43,2792.5,216,68
304715,30,30,0,0,2,208,31,91,144,100,184,43,2798.0,216,68
304725,30,30,0,1,64,209,31,91,144,100,188,43,2799.0,216,68
304735,30,30,0,2,172,210,31,91,144,100,188,43,2799.0,216,68
304745,30,30,0,3,95,211,31,91,144,100,190,43,2799.5,216,68
304756,30,30,0,4,32,212,63,91,144,100,178,43,2796.5,217,68
304765,30,30,0,5,11,213,31,91,144,100,196,43,2801.0,216,68
304775,30,30,0,6,169,214,31,91,144,100,190,43,2799.5,216,68
304785,30,30,0,7,1,215,63,91,144,100,218,43,2806.5,217,68
304796,30,30,0,8,7,216,63,91,144,100,220,43,2807.0,217,68
304806,30,30,0,9,134,217,63,91,144,100,254,43,2815.5,217,68
304815,30,30,0,10,91,218,63,91,144,100,6,44,2817.5,217,68
304825,30,30,0,11,9,219,63,91,144,100,46,44,2827.5,217,68
304835,30,30,0,12,11,220,63,91,144,100,44,44,2827.0,217,68
304845,30,30,0,13,136,221,63,91,144,100,52,44,2829.0,217,68
304855,30,30,0,14,2,222,63,91,144,100,48,44,2828.0,217,68
304865,30,30,0,15,225,223,63,91,144,100,58,44,2830.5,217,68
304875,30,30,0,0,77,208,63,91,144,100,44,44,2827.0,217,68
304885,30,30,0,1,145,209,95,91,144,100,42,44,2826.5,218,68
304895,30,30,0,2,89,210,95,91,144,100,44,44,2827.0,218,68
304905,30,30,0,3,58,211,95,91,144,100,54,44,2829.5,218,68
304916,30,30,0,4,24,212,95,91,144,100,78,44,2835.5,218,68
304935,30,30,0,6,5,214,95,91,144,100,114,44,2844.5,218,68
304945,30,30,0,7,35,215,95,91,144,100,130,44,2848.5,218,68
304955,30,30,0,8,181,216,95,91,144,100,156,44,2855.0,218,68
304966,30,30,0,9,227,217,95,91,144,100,154,44,2854.5,218,68
304975,30,30,0,10,231,218,95,91,144,100,164,44,2857.0,218,68
304985,30,30,0,11,137,219,127,91,144,100,160,44,2856.0,219,68
304995,30,30,0,12,223,220,127,91,144,100,172,44,2859.0,219,68
305005,30,30,0,13,132,221,127,91,144,100,160,44,2856.0,219,68
305015,30,30,0,14,98,222,127,91,144,100,174,44,2859.5,219,68
305025,30,30,0,15,237,223,127,91,144,100,174,44,2859.5,219,68
305035,30,30,0,0,207,208,127,91,144,100,192,44,2864.0,219,68
305045,30,30,0,1,253,209,127,91,144,100,204,44,2867.0,219,68
305055,30,30,0,2,241,210,127,91,144,100,220,44,2871.0,219,68
305065,30,30,0,3,53,211,127,91,144,100,234,44,2874.5,219,68
305075,30,30,0,4,207,212,127,91,144,100,0,45,2880.0,219,68
305086,30,30,0,5,21,213,159,91,144,100,0,45,2880.0,220,68
305095,30,30,0,6,113,214,159,91,144,100,14,45,2883.5,220,68
305105,30,30,0,7,92,215,159,91,144,100,10,45,2882.5,220,68
305115,30,30,0,8,90,216,159,91,144,100,12,45,2883.0,220,68
305125,30,30,0,9,40,217,159,91,144,100,12,45,2883.0,220,68
305135,30,30,0,10,195,218,159,91,144,100,18,45,2884.5,220,68
305144,30,30,0,11,42,219,159,91,144,100,20,45,2885.0,220,68
305154,30,30,0,12,68,220,159,91,144,100,28,45,2887.0,220,68
305165,30,30,0,13,124,221,159,91,144,100,42,45,2890.5,220,68
305175,30,30,0,14,94,222,159,91,144,100,50,45,2892.5,220,68
305185,30,30,0,15,144,223,191,91,144,100,68,45,2897.0,221,68
305195,30,30,0,0,32,208,191,91,144,100,80,45,2900.0,221,68
305205,30,30,0,1,73,209,191,91,144,100,98,45,2904.5,221,68
305215,30,30,0,2,254,210,191,91,144,100,92,45,2903.0,221,68
305225,30,30,0,3,58,211,191,91,144,100,106,45,2906.5,221,68
305235,30,30,0,4,161,212,191,91,144,100,94,45,2903.5,221,68
305245,30,30,0,5,180,213,191,91,144,100,102,45,2905.5,221,68
305255,30,30,0,6,188,214,191,91,144,100,98,45,2904.5,221,68
305265,30,30,0,7,225,215,191,91,144,100,110,45,2907.5,221,68
305275,30,30,0,8,251,216,191,91,144,100,106,45,2906.5,221,68
305285,30,30,0,9,81,217,191,91,144,100,126,45,2911.5,221,68
305295,30,30,0,10,163,218,223,91,144,100,140,45,2915.0,222,68
305305,30,30,0,11,170,219,223,91,144,100,154,45,2918.5,222,68
305315,30,30,0,12,159,220,223,91,144,100,172,45,2923.0,222,68
305325,30,30,0,13,112,221,223,91,144,100,190,45,2927.5,222,68
305335,30,30,0,14,116,222,223,91,144,100,194,45,2928.5,222,68
305345,30,30,0,15,251,223,223,91,144,100,194,45,2928.5,222,68
305355,30,30,0,0,147,208,223,91,144,100,194,45,2928.5,222,68
305366,30,30,0,1,153,209,223,91,144,100,202,45,2930.5,222,68
305375,30,30,0,2,229,210,223,91,144,100,210,45,2932.5,222,68
305384,30,30,0,3,122,211,223,91,144,100,218,45,2934.5,222,68
305395,30,30,0,4,181,212,223,91,144,100,224,45,2936.0,222,68
305405,30,30,0,5,27,213,223,91,144,100,246,45,2941.5,222,68
305415,30,30,0,6,175,214,255,91,144,100,2,46,2944.5,223,68
305424,30,30,0,7,70,215,255,91,144,100,16,46,2948.0,223,68
305435,30,30,0,8,92,216,255,91,144,100,20,46,2949.0,223,68
305446,30,30,0,9,94,217,255,91,144,100,28,46,2951.0,223,68
305455,30,30,0,10,90,218,255,91,144,100,34,46,2952.5,223,68
305466,30,30,0,11,195,219,255,91,144,100,44,46,2955.0,223,68
305475,30,30,0,12,77,220,255,91,144,100,52,46,2957.0,223,68
305485,30,30,0,13,57,221,31,92,144,100,58,46,2958.5,224,68
305495,30,30,0,14,61,222,31,92,144,100,70,46,2961.5,224,68
305505,30,30,0,15,222,223,31,92,144,100,76,46,2963.0,224,68
305515,30,30,0,0,110,208,31,92,144,100,88,46,2966.0,224,68
305525,30,30,0,1,107,209,31,92,144,100,96,46,2968.0,224,68
305535,30,30,0,2,211,210,31,92,144,100,110,46,2971.5,224,68
305545,30,30,0,3,187,211,63,92,144,100,108,46,2971.0,225,68
305555,30,30,0,4,23,212,63,92,144,100,108,46,2971.0,225,68
305565,30,30,0,5,213,213,63,92,144,100,112,46,2972.0,225,68
305575,30,30,0,6,193,214,63,92,144,100,118,46,2973.5,225,68
305585,30,30,0,7,212,215,63,92,144,100,118,46,2973.5,225,68
305595,30,30,0,8,154,216,63,92,144,100,124,46,2975.0,225,68
305605,30,30,0,9,204,217,63,92,144,100,122,46,2974.5,225,68
305615,30,30,0,10,244,218,63,92,144,100,132,46,2977.0,225,68
305625,30,30,0,11,66,219,63,92,144,100,120,46,2974.0,225,68
305635,30,30,0,12,100,220,63,92,144,100,124,46,2975.0,225,68
305645,30,30,0,13,119,221,63,92,144,100,124,46,2975.0,225,68
305655,30,30,0,14,158,222,63,156,144,100,126,46,2975.5,225,69
305665,30,30,0,15,97,223,63,156,144,100,118,46,2973.5,225,69
305675,30,30,0,0,69,208,63,92,144,100,130,46,2976.5,225,68
305685,30,30,0,1,68,209,63,92,144,100,126,46,2975.5,225,68
305695,30,30,0,2,248,210,63,156,144,100,136,46,2978.0,225,69
305705,30,30,0,3,181,211,63,156,144,100,244,45,2941.0,225,69
305715,30,30,0,4,214,212,63,92,144,100,42,45,2890.5,225,68
305725,30,30,0,5,112,213,255,91,144,100,226,43,2808.5,223,68
305734,30,30,0,6,179,214,223,155,144,100,16,43,2756.0,222,69
305744,30,30,0,7,230,215,191,155,144,100,38,42,2697.5,221,69
305755,30,30,0,8,29,216,159,155,144,100,74,41,2642.5,220,69
305765,30,30,0,9,32,217,127,219,144,100,124,40,2591.0,219,70
305775,30,30,0,10,16,218,127,219,144,100,74,39,2514.5,219,70
305784,30,30,0,11,201,219,191,25,145,100,150,38,2469.5,205,71
305795,30,30,0,12,211,220,159,217,144,100,206,37,2419.5,204,70
305805,30,30,0,13,144,221,159,217,144,100,4,37,2369.0,204,70
305815,30,30,0,14,233,222,127,25,144,100,66,36,2320.5,203,67
439076,30,30,0,12,202,220,255,25,144,100,10,55,3522.5,207,67
439086,30,30,0,13,145,221,63,26,144,100,34,55,3528.5,209,67
439097,30,30,0,14,61,222,63,26,144,100,66,55,3536.5,209,67
439106,30,30,0,15,118,223,63,26,144,100,84,55,3541.0,209,67
439116,30,30,0,0,213,208,63,26,144,100,114,55,3548.5,209,67
439127,30,30,0,1,124,209,63,26,144,100,146,55,3556.5,209,67
439136,30,30,0,2,67,210,95,90,144,100,152,55,3558.0,210,68
439146,30,30,0,3,11,211,95,90,144,100,180,55,3565.0,210,68
439156,30,30,0,4,17,212,95,90,144,100,200,55,3570.0,210,68
439166,30,30,0,5,207,213,95,90,144,100,214,55,3573.5,210,68
439176,30,30,0,6,111,214,95,154,144,100,242,55,3580.5,210,69
439186,30,30,0,7,2,215,159,154,144,100,4,56,3585.0,212,69
439197,30,30,0,8,235,216,159,154,144,100,34,56,3592.5,212,69
439206,30,30,0,9,233,217,159,154,144,100,42,56,3594.5,212,69
439216,30,30,0,10,224,218,159,154,144,100,70,56,3601.5,212,69
439226,30,30,0,11,250,219,159,154,144,100,98,56,3608.5,212,69
439237,30,30,0,12,66,220,191,218,144,100,98,56,3608.5,213,70
439246,30,30,0,13,216,221,191,154,144,100,124,56,3615.0,213,69
439256,30,30,0,14,100,222,191,218,144,100,140,56,3619.0,213,70
439266,30,30,0,15,116,223,191,218,144,100,164,56,3625.0,213,70
439276,30,30,0,0,38,208,191,218,144,100,194,56,3632.5,213,70
439286,30,30,0,1,204,209,191,218,144,100,218,56,3638.5,213,70
439296,30,30,0,2,17,210,223,26,145,100,0,57,3648.0,214,71
439306,30,30,0,3,182,211,223,26,145,100,12,57,3651.0,214,71
439317,30,30,0,4,93,212,223,26,145,100,48,57,3660.0,214,71
439326,30,30,0,5,89,213,223,26,145,100,88,57,3670.0,214,71
439336,30,30,0,6,145,214,255,26,145,100,98,57,3672.5,215,71
439346,30,30,0,7,3,215,255,26,145,100,140,57,3683.0,215,71
