time,actual,predicted,delta,counter,b0,b1,b2,b3,b4,b5,b6,b7,rpm,stat,dyn
440016,192,30,222,10,45,218,223,28,148,100,4,64,4097.0,230,83
440027,192,30,222,11,127,219,223,28,148,100,44,64,4107.0,230,83
440037,192,30,222,12,175,220,31,93,148,100,54,64,4109.5,232,84
440046,192,30,222,13,44,221,31,93,148,100,46,64,4107.5,232,84
440057,192,30,222,14,124,222,31,93,148,100,92,64,4119.0,232,84
440066,192,30,222,15,159,223,31,157,148,100,106,64,4122.5,232,85
440077,192,30,222,0,80,208,31,93,148,100,122,64,4126.5,232,84
440086,192,30,222,1,37,209,63,93,148,100,166,64,4137.5,233,84
440097,192,30,222,2,14,210,95,157,148,100,196,64,4145.0,234,85
440106,192,30,222,3,57,211,95,157,148,100,208,64,4148.0,234,85
440116,192,30,222,4,234,212,95,157,148,100,232,64,4154.0,234,85
440127,192,30,222,5,12,213,95,157,148,100,242,64,4156.5,234,85
440136,192,30,222,6,12,214,159,221,148,100,16,65,4164.0,236,86
440147,192,30,222,7,134,215,159,221,148,100,56,65,4174.0,236,86
440156,192,30,222,8,42,216,159,221,148,100,64,65,4176.0,236,86
440167,192,30,222,9,208,217,191,221,148,100,114,65,4188.5,237,86
440176,192,30,222,10,232,218,191,221,148,100,140,65,4195.0,237,86
440187,192,30,222,11,108,219,223,221,148,100,170,65,4202.5,238,86
440197,192,30,222,12,84,220,223,221,148,100,206,65,4211.5,238,86
440207,192,30,222,13,216,221,223,221,148,100,230,65,4217.5,238,86
440216,192,30,222,14,124,222,223,29,149,100,244,65,4221.0,238,87
440227,192,30,222,15,152,223,255,29,149,100,32,66,4232.0,239,87
440237,192,30,222,0,75,208,63,30,149,100,42,66,4234.5,241,87
440247,192,30,222,1,233,209,63,30,149,100,62,66,4239.5,241,87
440256,192,30,222,2,48,210,63,30,149,100,104,66,4250.0,241,87
440266,192,30,222,3,27,211,63,30,149,100,126,66,4255.5,241,87
440277,192,30,222,4,20,212,63,30,149,100,150,66,4261.5,241,87
440286,192,30,222,5,82,213,127,30,149,100,192,66,4272.0,243,87
440297,192,30,222,6,228,214,127,94,149,100,238,66,4283.5,243,88
440306,192,30,222,7,67,215,159,94,149,100,10,67,4290.5,244,88
440317,192,30,222,8,30,216,159,94,149,100,50,67,4300.5,244,88
440327,192,30,222,9,146,217,159,94,149,100,66,67,4304.5,244,88
440336,192,30,222,10,97,218,191,94,149,100,118,67,4317.5,245,88
440346,192,30,222,11,243,219,191,94,149,100,140,67,4323.0,245,88
440357,192,30,222,12,215,220,191,94,149,100,108,66,4251.0,245,88
440367,192,30,222,13,77,221,63,30,149,100,22,65,4165.5,241,87
440376,192,30,222,14,22,222,63,30,149,100,22,64,4101.5,241,87
444036,192,30,222,12,171,220,191,157,149,100,10,64,4098.5,237,89
