b0,b1,b2,b3,b4,b5,b6,b7
08,F4,00,00,00,00,78,3F
88,75,00,00,A0,02,00,78
88,76,00,00,80,00,00,FE
88,77,00,00,FE,00,0E,00
88,78,00,00,00,00,00,00
88,79,00,00,00,00,00,00
88,7A,00,00,A0,02,00,78
88,7B,00,00,FE,F7,07,00
88,7C,00,00,83,3F,00,FE
88,7D,00,00,00,00,FF,3F
8B,7E,00,00,0F,00,7A,3F
4B,D1,9F,FF,00,04,00,01
2E,01,00,00,01,00,06,02
B0,12,A1,FF,00,04,00,01
F7,02,00,00,02,00,06,02
8B,7F,00,00,02,00,06,02
92,E1,DF,BF,FF,00,00,00
19,E1,BF,FF,FE,FB,EF,9F
31,13,A1,FF,00,04,00,01
6D,E2,BF,FF,FE,FB,EF,9F
7E,E2,DF,BF,FF,00,00,00
55,03,00,00,03,00,01,02
8B,70,00,00,03,00,01,02
7B,B4,A1,FF,00,04,00,01
91,E3,DF,BF,FF,00,00,00
EC,E3,BF,FF,FE,FB,EF,9F
69,04,00,00,04,00,01,02
8B,71,00,00,04,00,01,02
43,55,A2,FF,00,04,00,01
3F,05,00,00,05,00,01,02
D6,E4,BF,FF,FE,FB,EF,9F
3D,E4,DF,BF,FF,00,00,00
8B,72,41,01,FF,00,00,00
B5,F6,A2,FF,00,04,00,01
BC,06,00,00,06,00,01,02
57,E5,DF,BF,FF,00,00,00
AD,E5,BF,FF,FE,FB,EF,9F
8B,73,41,01,00,00,00,00
A3,97,A3,FF,00,04,00,01
3E,E6,BF,FF,FE,FB,EF,9F
67,E6,DF,BF,FF,00,00,00
8D,07,00,00,07,00,00,02
8B,74,00,00,2D,00,7E,90
72,E7,DF,BF,FF,00,00,00
B7,E7,BF,FF,FE,FB,EF,9F
4E,38,A4,FF,00,04,00,01
33,08,00,00,08,00,00,02
74,D9,A4,FF,00,04,00,01
76,09,00,00,09,00,00,02
FA,E8,BF,FF,FE,FB,EF,9F
50,E8,DF,BF,FF,00,00,00
8B,76,BE,01,00,00,00,00
39,7A,A5,FF,00,04,00,01
D2,0A,00,00,0A,00,00,02
2A,E9,BF,FF,FE,FB,EF,9F
22,E9,DF,BF,FF,00,00,00
8B,77,00,00,04,00,00,00
2C,EA,BF,FF,FE,FB,EF,9F
7D,EA,DF,BF,FF,00,00,00
02,1B,A6,FF,00,04,00,01
DD,0B,00,00,0B,00,00,02
8B,78,00,00,F0,03,00,00
87,BC,A6,FF,00,04,00,01
B0,EB,DF,BF,FF,00,00,00
57,0C,00,00,0C,00,00,02
42,EB,BF,FF,FE,FB,EF,9F
8B,79,38,01,FF,FE,FF,FF
28,ED,BF,FF,00,04,00,00
99,0D,00,00,0D,00,00,02
FD,EC,BF,FF,FE,FB,EF,9F
AE,EC,DF,BF,FF,00,00,00
8B,7A,38,01,00,00,00,00
F2,EE,BF,FF,00,04,00,00
79,0E,00,00,0E,00,00,02
BD,ED,DF,BF,FF,00,00,00
0D,ED,BF,FF,FE,FB,EF,9F
8B,7B,00,00,00,01,FE,3F
D5,EF,BF,FF,00,14,00,00
86,EE,BF,FF,FE,FB,EF,9F
0F,EE,DF,BF,FF,00,00,00
36,0F,00,00,0F,00,00,02
8B,7C,00,00,00,00,00,20
48,E0,BF,FF,00,14,00,00
58,EF,BF,FF,FE,FB,EF,9F
80,EF,DF,BF,FF,00,00,00
91,00,00,00,10,00,00,02
8B,7D,01,01,00,20,00,59
86,E1,BF,FF,00,14,00,00
D3,01,00,00,11,00,00,02
91,E0,BF,FF,FE,FB,EF,9F
E8,E0,DF,BF,FF,00,00,00
8B,7E,01,01,00,00,00,00
62,E2,BF,FF,00,14,00,00
0A,02,00,00,12,00,00,02
8B,7F,00,00,00,00,00,00
E3,E3,BF,FF,00,14,00,00
82,03,00,00,13,00,00,02
8B,70,00,00,00,00,00,00
41,E4,BF,FF,00,14,00,00
BE,04,00,00,14,00,00,02
8B,71,FE,01,00,00,00,20
74,E5,BF,FF,00,14,00,00
E8,05,00,00,15,00,00,02
8B,72,FE,01,F0,03,00,00
6A,E6,BF,FF,00,14,00,00
6B,06,00,00,16,00,00,02
8B,73,00,00,00,00,00,00
35,E7,BF,FF,00,14,00,00
54,07,00,00,17,00,00,02
8B,74,00,00,00,00,00,00
A2,E8,BF,FF,00,14,00,00
EA,08,00,00,18,00,00,02
8B,75,56,01,00,01,FE,3F
A6,E9,BF,FF,00,14,00,00
AF,09,00,00,19,00,00,02
8B,76,56,01,00,00,00,00
F7,EA,BF,FF,00,14,00,00
0B,0A,00,00,1A,00,00,02
42,EB,BF,FF,00,14,00,00
04,0B,00,00,1B,00,00,02
2F,EC,BF,FF,00,14,00,00
8E,0C,00,00,1C,00,00,02
5E,ED,BF,FF,00,14,00,00
40,0D,00,00,1D,00,00,02
8B,7A,00,00,00,28,00,00
84,EE,BF,FF,00,14,00,00
A0,0E,00,00,1E,00,00,02
8B,7B,02,01,0F,00,7A,3F
EF,0F,00,00,1F,00,00,02
8B,7C,02,01,80,0F,00,7A
D5,00,00,00,20,00,00,02
8B,7D,00,00,80,00,00,FE
97,01,00,00,21,00,00,02
8B,7E,00,00,FE,00,0E,00
4E,02,00,00,22,00,00,02
8B,7F,FD,01,00,00,00,00
C6,03,00,00,23,00,00,02
8B,70,FD,01,00,00,00,20
FA,04,00,00,24,00,00,02
8B,71,00,00,80,0F,00,7A
AC,05,00,00,25,00,00,02
83,72,00,00,FE,F7,07,00
2F,06,00,00,26,00,00,02
83,73,31,01,40,3F,00,00
10,07,00,00,27,00,00,02
83,75,00,00,0F,00,7A,3F
EB,09,00,00,29,00,00,02
83,76,00,00,04,00,00,00
4F,0A,00,00,2A,00,00,02
83,77,00,00,80,00,00,FE
40,0B,00,00,2B,00,00,02
83,78,00,00,FE,00,0E,00
CA,0C,00,00,2C,00,00,02
04,0D,00,00,2D,00,00,02
83,79,C3,01,FF,00,00,00
AB,0F,00,00,2F,00,00,02
83,7B,00,00,2F,00,00,02
0C,00,00,00,30,00,00,02
83,7C,00,00,30,00,00,02
4E,01,00,00,31,00,00,02
83,7D,3C,01,FF,00,00,00
97,02,00,00,32,00,00,02
83,7E,3C,01,00,00,00,00
1F,03,00,00,33,00,00,02
83,7F,00,00,F0,03,00,00
23,04,00,00,34,00,00,02
83,70,37,01,00,00,00,00
75,05,00,00,35,00,00,02
83,71,37,01,01,FE,01,00
F6,06,00,00,36,00,00,02
83,72,00,00,00,01,FE,3F
C9,07,00,00,37,00,00,02
83,73,00,00,00,00,00,20
77,08,00,00,38,00,00,02
83,74,00,01,00,20,00,5A
32,09,00,00,39,00,00,02
83,75,00,01,00,00,00,00
96,0A,00,00,3A,00,00,02
83,76,00,00,00,00,00,00
99,0B,00,00,3B,00,00,02
83,77,00,00,00,00,00,D2
13,0C,00,00,3C,00,00,02
83,78,FF,01,00,00,00,20
DD,0D,00,00,3D,00,00,02
83,79,FF,01,F0,03,00,00
3D,0E,00,00,3E,00,00,02
83,7A,00,00,00,00,00,00
72,0F,00,00,3F,00,00,02
83,7B,00,00,00,00,00,00
5D,00,00,00,40,00,00,02
83,7C,31,01,00,01,FE,3F
1F,01,00,00,41,00,00,02
83,7D,31,01,00,00,00,20
C6,02,00,00,42,00,00,02
83,7E,00,00,04,00,00,00
4E,03,00,00,43,00,00,02
72,04,00,00,44,00,00,02
24,05,00,00,45,00,00,02
83,71,00,00,00,28,00,00
A7,06,00,00,46,00,00,02
83,72,02,01,04,00,00,00
98,07,00,00,47,00,00,02
83,73,02,01,F0,03,00,00
26,08,00,00,48,00,00,02
63,09,00,00,49,00,00,02
83,75,00,00,00,00,00,00
C7,0A,00,00,4A,00,00,02
83,76,FD,01,00,00,00,00
C8,0B,00,00,4B,00,00,02
83,77,FD,01,00,00,00,20
42,0C,00,00,4C,00,00,02
83,78,00,00,80,0F,00,7A
8C,0D,00,00,4D,00,00,02
83,79,00,00,FE,F7,07,00
6C,0E,00,00,4E,00,00,02
83,7A,33,01,40,3F,00,00
23,0F,00,00,4F,00,00,02
83,7B,33,01,00,00,00,00
84,00,00,00,50,00,00,02
83,7C,00,00,0F,00,7A,3F
C6,01,00,00,51,00,00,02
83,7D,00,00,80,0F,00,7A
1F,02,00,00,52,00,00,02
83,7E,00,00,80,00,00,FE
97,03,00,00,53,00,00,02
83,7F,00,00,FE,00,0E,00
AB,04,00,00,54,00,00,02
83,70,01,01,00,00,00,00
FD,05,00,00,55,00,00,02
83,72,00,00,80,0F,00,7A
41,07,00,00,57,00,00,02
83,73,00,00,FE,F7,07,00
FF,08,00,00,58,00,00,02
BA,09,00,00,59,00,00,02
83,74,FE,01,FF,00,00,00
1E,0A,00,00,5A,00,00,02
83,75,FE,01,5A,00,00,02
11,0B,00,00,5B,00,00,02
83,76,00,00,5B,00,00,02
9B,0C,00,00,5C,00,00,02
83,77,00,00,FE,FB,EF,9F
55,0D,00,00,5D,00,00,02
83,78,30,01,FF,00,00,00
B5,0E,00,00,5E,00,00,02
83,79,30,01,00,00,00,00
FA,0F,00,00,5F,00,00,02
83,7A,00,00,F0,03,00,00
C0,00,00,00,60,00,00,02
83,7B,00,00,00,20,00,59
82,01,00,00,61,00,00,02
83,7C,00,00,00,00,00,00
5B,02,00,00,62,00,00,02
83,7D,43,01,00,00,00,00
D3,03,00,00,63,00,00,02
83,7E,43,01,00,00,00,00
EF,04,00,00,64,00,00,02
83,7F,00,00,00,10,00,98
B9,05,00,00,65,00,00,02
83,70,00,00,F0,03,00,00
3A,06,00,00,66,00,00,02
83,71,BC,01,00,00,00,00
05,07,00,00,67,00,00,02
83,72,BC,01,00,00,00,00
BB,08,00,00,68,00,00,02
83,73,00,00,00,01,FE,3F
FE,09,00,00,69,00,00,02
5A,0A,00,00,6A,00,00,02
83,75,32,01,04,00,00,00
55,0B,00,00,6B,00,00,02
83,76,32,01,00,FF,DF,FF
DF,0C,00,00,6C,00,00,02
83,77,00,00,00,00,00,00
11,0D,00,00,6D,00,00,02
F1,0E,00,00,6E,00,00,02
BE,0F,00,00,6F,00,00,02
19,00,00,00,70,00,00,02
83,7B,00,01,FF,FE,FF,FF
5B,01,00,00,71,00,00,02
83,7C,00,01,00,00,00,00
82,02,00,00,72,00,00,02
83,7D,00,00,00,01,FE,3F
0A,03,00,00,73,00,00,02
83,7E,00,00,00,04,00,00
36,04,00,00,74,00,00,02
83,7F,FF,01,00,20,00,59
60,05,00,00,75,00,00,02
83,70,FF,01,FE,F7,07,00
E3,06,00,00,76,00,00,02
83,71,00,00,40,3F,00,00
DC,07,00,00,77,00,00,02
83,72,00,00,00,00,00,00
62,08,00,00,78,00,00,02
83,73,33,01,0F,00,7A,3F
27,09,00,00,79,00,00,02
83,74,33,01,80,0F,00,7A
83,0A,00,00,7A,00,00,02
83,75,00,00,03,10,00,98
8C,0B,00,00,7B,00,00,02
83,76,00,00,FE,00,00,00
06,0C,00,00,7C,00,00,02
C8,0D,00,00,7D,00,00,02
83,79,42,01,0C,00,00,14
67,0F,00,00,7F,00,00,02
83,7A,42,01,FE,F7,07,00
62,00,00,00,80,00,00,02
83,7B,00,00,40,3F,00,00
20,01,00,00,81,00,00,02
F9,02,00,00,82,00,00,02
83,7D,BD,01,FE,00,03,00
71,03,00,00,83,00,00,02
4D,04,00,00,84,00,00,02
83,7E,BD,01,FE,FB,EF,9F
1B,05,00,00,85,00,00,02
83,7F,00,00,FF,00,00,00
98,06,00,00,86,00,00,02
83,70,00,00,FF,00,00,00
A7,07,00,00,87,00,00,02
83,71,41,01,87,00,00,02
19,08,00,00,88,00,00,02
83,72,41,01,00,00,00,00
5C,09,00,00,89,00,00,02
83,73,00,00,2D,00,7E,90
F8,0A,00,00,8A,00,00,02
83,74,00,00,00,01,FE,3F
F7,0B,00,00,8B,00,00,02
7D,0C,00,00,8C,00,00,02
83,76,C0,01,00,00,00,20
B3,0D,00,00,8D,00,00,02
83,77,C0,01,F0,03,00,00
53,0E,00,00,8E,00,00,02
1C,0F,00,00,8F,00,00,02
BB,00,00,00,90,00,00,02
83,7A,3F,01,00,01,FE,3F
F9,01,00,00,91,00,00,02
83,7B,3F,01,00,00,00,20
20,02,00,00,92,00,00,02
83,7C,00,00,00,20,00,5A
