time,b0,b1,b2,b3,b4,b5,b6,b7
3628,FC,DC,1F,8A,81,64,0E,13
3637,CE,DD,1F,4A,80,64,28,13
3648,A6,DE,1F,4A,80,64,5E,13
3658,42,DF,1F,4A,7E,64,92,13
3668,01,D0,1F,4A,7E,64,A4,13
3678,81,D1,3F,CA,7C,64,CC,13
3688,71,D2,3F,CA,7C,64,CE,13
3698,EA,D3,5F,CA,7B,64,D8,13
3708,BA,D4,5F,4A,7C,64,C6,13
3717,7A,D5,5F,4A,7C,64,B8,13
3727,98,D6,5F,CA,7C,64,A4,13
3737,12,D7,5F,CA,7C,64,8C,13
3748,85,D8,5F,0A,7E,64,62,13
3757,E6,D9,5F,0A,7E,64,32,13
3767,10,DA,3F,8A,7F,64,20,13
3777,7A,DB,3F,8A,7F,64,0C,13
3788,4B,DC,3F,4A,80,64,FC,12
3797,B8,DD,3F,4A,80,64,EC,12
3807,87,DE,1F,CA,80,64,E6,12
3817,08,DF,1F,CA,80,64,E6,12
3827,A1,D0,1F,8A,80,64,F4,12
3837,01,D1,1F,8A,80,64,04,13
3847,DC,D2,1F,8A,7F,64,2E,13
3857,99,D3,1F,8A,7F,64,50,13
3868,9D,D4,1F,0A,7E,64,68,13
3877,F7,D5,3F,0A,7E,64,84,13
3887,3E,D6,3F,CA,7C,64,A2,13
3897,9F,D7,3F,CA,7C,64,BC,13
3908,42,D8,5F,8A,7B,64,D6,13
3918,08,D9,5F,8A,7B,64,D2,13
3927,C8,DA,5F,CA,7C,64,CA,13
3937,B3,DB,5F,CA,7C,64,B6,13
3948,C1,DC,5F,4A,7D,64,98,13
3958,39,DD,5F,4A,7D,64,7C,13
3968,78,DE,5F,4A,7E,64,4A,13
3977,CD,DF,5F,4A,7E,64,2C,13
3988,6B,D0,5F,4A,7F,64,16,13
3998,93,D1,3F,4A,7F,64,16,13
4008,0F,D2,3F,8A,7F,64,22,13
4017,FC,D3,3F,8A,7F,64,20,13
4028,43,D4,3F,8A,7F,64,12,13
4038,84,D5,3F,0A,7F,64,36,13
4048,FE,D6,3F,0A,7F,64,58,13
4058,D9,D7,3F,0A,7E,64,70,13
4068,D4,D8,3F,0A,7E,64,82,13
4077,E4,D9,3F,8A,7D,64,92,13
4087,0E,DA,5F,8A,7D,64,A6,13
4097,ED,DB,5F,0A,7D,64,A8,13
4108,EF,DC,5F,0A,7D,64,AA,13
4117,EA,DD,5F,4A,7D,64,9C,13
4127,0C,DE,5F,4A,7D,64,92,13
4137,5F,DF,5F,8A,7D,64,7E,13
4148,D7,D0,5F,8A,7D,64,6E,13
4157,63,D1,5F,0A,7E,64,64,13
4167,9C,D2,5F,0A,7E,64,56,13
4177,7B,D3,5F,8A,7E,64,3C,13
4188,47,D4,5F,8A,7E,64,24,13
4198,72,D5,3F,4A,7F,64,10,13
4207,42,D6,3F,4A,7F,64,10,13
4217,4B,D7,3F,4A,7F,64,12,13
4227,DD,D8,3F,4A,7F,64,0C,13
4237,D0,D9,3F,8A,7F,64,08,13
4247,03,DA,3F,8A,7F,64,12,13
4258,F9,DB,3F,4A,7F,64,1A,13
4268,D0,DC,3F,4A,7F,64,2E,13
4278,5E,DD,3F,CA,7E,64,40,13
4288,0C,DE,3F,CA,7E,64,50,13
4298,EA,DF,3F,4A,7E,64,62,13
4308,CA,D0,3F,4A,7E,64,6E,13
4318,82,D1,3F,CA,7D,64,76,13
4327,8B,D2,5F,CA,7D,64,88,13
4338,AA,D3,5F,4A,7D,64,96,13
4347,8A,D4,5F,4A,7D,64,8C,13
4358,E0,D5,5F,4A,7D,64,8C,13
4367,84,D6,5F,4A,7D,64,82,13
4377,86,D7,5F,4A,7D,64,74,13
4388,76,D8,5F,CA,7D,64,68,13
4397,4C,D9,5F,CA,7D,64,64,13
4407,70,DA,5F,CA,7D,64,5E,13
4417,5D,DB,5F,CA,7D,64,4E,13
4428,0C,DC,5F,8A,7E,64,30,13
