time,b0,b1,b2,b3,b4,b5,b6,b7
33660,92,E1,DF,BF,FF,0,0,0
33670,7E,E2,DF,BF,FF,0,0,0
33680,91,E3,DF,BF,FF,0,0,0
33690,3D,E4,DF,BF,FF,0,0,0
33700,57,E5,DF,BF,FF,0,0,0
33710,67,E6,DF,BF,FF,0,0,0
33720,72,E7,DF,BF,FF,0,0,0
33730,50,E8,DF,BF,FF,0,0,0
33741,22,E9,DF,BF,FF,0,0,0
33750,7D,EA,DF,BF,FF,0,0,0
33760,B0,EB,DF,BF,FF,0,0,0
33770,AE,EC,DF,BF,FF,0,0,0
33780,BD,ED,DF,BF,FF,0,0,0
33790,0F,EE,DF,BF,FF,0,0,0
33800,80,EF,DF,BF,FF,0,0,0
33811,E8,E0,DF,BF,FF,0,0,0
33820,92,E1,DF,BF,FF,0,0,0
33830,7E,E2,DF,BF,FF,0,0,0
33840,91,E3,DF,BF,FF,0,0,0
33850,3D,E4,DF,BF,FF,0,0,0
33860,57,E5,DF,BF,FF,0,0,0
33870,67,E6,DF,BF,FF,0,0,0
33880,72,E7,DF,BF,FF,0,0,0
33890,50,E8,DF,BF,FF,0,0,0
33900,22,E9,DF,BF,FF,0,0,0
33910,7D,EA,DF,BF,FF,0,0,0
33920,B0,EB,DF,BF,FF,0,0,0
33930,AE,EC,DF,BF,FF,0,0,0
33940,BD,ED,DF,BF,FF,0,0,0
33950,0F,EE,DF,BF,FF,0,0,0
33960,80,EF,DF,BF,FF,0,0,0
33970,E8,E0,DF,BF,FF,0,0,0
33980,92,E1,DF,BF,FF,0,0,0
33990,7E,E2,DF,BF,FF,0,0,0
34000,91,E3,DF,BF,FF,0,0,0
34011,3D,E4,DF,BF,FF,0,0,0
34020,57,E5,DF,BF,FF,0,0,0
34048,67,E6,DF,BF,FF,0,0,0
34050,50,E8,DF,BF,FF,0,0,0
34060,22,E9,DF,BF,FF,0,0,0
34070,7D,EA,DF,BF,FF,0,0,0
34080,B0,EB,DF,BF,FF,0,0,0
34090,AE,EC,DF,BF,FF,0,0,0
34101,BD,ED,DF,BF,FF,0,0,0
34110,0F,EE,DF,BF,FF,0,0,0
34120,80,EF,DF,BF,FF,0,0,0
34130,E8,E0,DF,BF,FF,0,0,0
34140,92,E1,DF,BF,FF,0,0,0
