frame,time,id,len,b0,b1,b2,b3,b4,b5,b6,b7
1,28627,0x0A7,8,6D,E2,BF,FF,FE,FB,EF,9F
1,28627,0x0A7,8,6D,E2,BF,FF,FE,FB,EF,9F
2,28627,0x0A8,8,7E,E2,DF,BF,FF,00,00,00
2,28627,0x0A8,8,7E,E2,DF,BF,FF,00,00,00
3,28633,0x0AD,8,31,13,A1,FF,00,04,00,01
3,28633,0x0AD,8,31,13,A1,FF,00,04,00,01
4,28633,0x0AE,8,55,03,00,00,03,00,01,02
4,28633,0x0AE,8,55,03,00,00,03,00,01,02
5,28643,0x0AD,8,7B,B4,A1,FF,00,04,00,01
5,28643,0x0AD,8,7B,B4,A1,FF,00,04,00,01
6,28643,0x0AE,8,69,04,00,00,04,00,01,02
6,28643,0x0AE,8,69,04,00,00,04,00,01,02
7,28653,0x0AD,8,43,55,A2,FF,00,04,00,01
7,28653,0x0AD,8,43,55,A2,FF,00,04,00,01
8,28653,0x0AE,8,3F,05,00,00,05,00,01,02
8,28653,0x0AE,8,3F,05,00,00,05,00,01,02
9,28663,0x0AD,8,B5,F6,A2,FF,00,04,00,01
9,28663,0x0AD,8,B5,F6,A2,FF,00,04,00,01
10,28663,0x0AE,8,BC,06,00,00,06,00,01,02
10,28663,0x0AE,8,BC,06,00,00,06,00,01,02
11,28673,0x0AD,8,A3,97,A3,FF,00,04,00,01
11,28673,0x0AD,8,A3,97,A3,FF,00,04,00,01
12,28677,0x0A8,8,72,E7,DF,BF,FF,00,00,00
12,28677,0x0A8,8,72,E7,DF,BF,FF,00,00,00
13,28693,0x0AD,8,74,D9,A4,FF,00,04,00,01
13,28693,0x0AD,8,74,D9,A4,FF,00,04,00,01
14,28693,0x0AE,8,76,09,00,00,09,00,00,02
14,28693,0x0AE,8,76,09,00,00,09,00,00,02
15,28923,0x0AD,8,48,E0,BF,FF,00,14,00,00
15,28923,0x0AD,8,48,E0,BF,FF,00,14,00,00
16,28923,0x0AE,8,D5,00,00,00,20,00,00,02
16,28923,0x0AE,8,D5,00,00,00,20,00,00,02
17,28930,0x0AF,4,8B,7D,00,00,80,00,00,FE
17,28930,0x0AF,4,8B,7D,00,00,80,00,00,FE
18,28933,0x0AD,8,86,E1,BF,FF,00,14,00,00
18,28933,0x0AD,8,86,E1,BF,FF,00,14,00,00
19,28933,0x0AE,8,97,01,00,00,21,00,00,02
19,28933,0x0AE,8,97,01,00,00,21,00,00,02
20,28937,0x0A8,8,92,E1,DF,BF,FF,00,00,00
20,28937,0x0A8,8,92,E1,DF,BF,FF,00,00,00
21,28937,0x0A7,8,19,E1,BF,FF,FE,FB,EF,9F
21,28937,0x0A7,8,19,E1,BF,FF,FE,FB,EF,9F
22,28940,0x0AF,4,8B,7E,00,00,FE,00,0E,00
22,28940,0x0AF,4,8B,7E,00,00,FE,00,0E,00
23,28943,0x0AD,8,62,E2,BF,FF,00,14,00,00
23,28943,0x0AD,8,62,E2,BF,FF,00,14,00,00
24,28943,0x0AE,8,4E,02,00,00,22,00,00,02
24,28943,0x0AE,8,4E,02,00,00,22,00,00,02
25,28947,0x0A7,8,6D,E2,BF,FF,FE,FB,EF,9F
25,28947,0x0A7,8,6D,E2,BF,FF,FE,FB,EF,9F
26,28947,0x0A8,8,7E,E2,DF,BF,FF,00,00,00
26,28947,0x0A8,8,7E,E2,DF,BF,FF,00,00,00
27,28950,0x0AF,4,8B,7F,FD,01,00,00,00,00
27,28950,0x0AF,4,8B,7F,FD,01,00,00,00,00
28,28953,0x0AD,8,E3,E3,BF,FF,00,14,00,00
28,28953,0x0AD,8,E3,E3,BF,FF,00,14,00,00
29,28953,0x0AE,8,C6,03,00,00,23,00,00,02
29,28953,0x0AE,8,C6,03,00,00,23,00,00,02
30,28957,0x0A8,8,91,E3,DF,BF,FF,00,00,00
30,28957,0x0A8,8,91,E3,DF,BF,FF,00,00,00
31,28957,0x0A7,8,EC,E3,BF,FF,FE,FB,EF,9F
31,28957,0x0A7,8,EC,E3,BF,FF,FE,FB,EF,9F
32,28960,0x0AF,4,8B,70,FD,01,FE,FB,EF,9F
32,28960,0x0AF,4,8B,70,FD,01,FE,FB,EF,9F
33,28963,0x0AD,8,41,E4,BF,FF,00,14,00,00
