b0,b1,b2,b3,b4,b5,b6,b7
00,D0,1F,CF,83,64,84,19
00,D0,3F,08,7F,64,80,0F
00,D0,3F,4F,83,64,4C,17
00,D0,5F,13,84,64,26,19
00,D0,5F,48,7F,64,6A,0F
00,D0,5F,53,96,00,1A,2F
00,D0,5F,8A,82,64,74,12
00,D0,5F,CB,7D,64,56,14
00,D0,7F,49,83,64,A2,0E
00,D0,9F,0C,80,00,9C,15
00,D0,9F,49,83,64,78,0E
00,D0,9F,D2,87,64,B0,18
00,D0,DF,0F,78,64,46,1A
00,D0,FF,07,7F,64,EC,0F
00,D0,FF,CF,88,64,2C,1E
00,D1,3F,C8,7E,64,98,0F
00,D1,5F,12,79,64,A0,19
00,D1,5F,89,7D,64,EE,0E
00,D1,7F,4F,81,64,E4,18
00,D1,9F,4C,82,64,74,15
00,D1,BF,10,89,64,9A,19
00,D1,DF,92,77,64,22,1B
00,D1,FF,48,83,64,A0,0E
00,D1,FF,4A,78,64,AA,13
00,D1,FF,C8,7E,64,AE,0F
00,D2,1F,08,7F,64,D2,0F
00,D2,1F,4F,84,64,B0,18
00,D2,1F,D3,95,00,8A,2F
00,D2,3F,48,7E,64,7E,10
00,D2,3F,56,85,64,F4,29
00,D2,3F,8A,81,64,E6,10
00,D2,5F,0A,81,64,B6,11
00,D2,5F,0B,7B,64,B0,19
00,D2,7F,4A,84,64,B4,13
00,D2,9F,92,77,64,20,1A
00,D2,9F,D0,77,64,2E,1D
00,D2,BF,8F,83,64,A0,1D
00,D2,FF,93,88,64,6E,1D
00,D2,FF,CF,7F,64,4C,19
00,D3,1F,89,7E,64,D8,0F
00,D3,1F,92,77,64,92,23
00,D3,3F,0A,82,64,E2,0C
00,D3,3F,57,86,64,0E,2C
00,D3,5F,0A,82,64,82,11
00,D3,5F,12,8C,64,96,1A
00,D3,5F,4A,84,64,FE,12
00,D3,5F,8A,8A,64,CA,11
00,D3,9F,E2,BD,64,9A,63
00,D3,BF,0F,78,64,66,19
00,D3,BF,8C,80,64,8C,14
00,D3,DF,4E,83,64,CC,1B
00,D4,1F,0E,81,64,62,16
00,D4,3F,88,7E,64,E2,0F
00,D4,3F,91,83,64,0E,1F
00,D4,5F,0A,82,64,5A,11
00,D4,7F,C9,82,64,C0,0E
00,D4,7F,CA,7F,64,6A,12
00,D4,9F,97,8D,64,5C,25
00,D4,FF,0E,84,5E,DC,1E
00,D4,FF,90,83,64,B0,1E
00,D5,1F,0A,82,64,FC,0D
00,D5,1F,CA,80,64,C0,11
00,D5,1F,CA,81,64,D4,0D
00,D5,3F,08,7F,64,6A,0F
00,D5,3F,48,7E,64,2A,10
00,D5,3F,8A,7E,64,8C,11
00,D5,5F,10,78,64,B2,1C
00,D5,7F,89,81,64,74,12
00,D5,9F,55,87,64,68,20
00,D5,9F,8E,82,64,50,17
00,D5,9F,90,79,64,A0,1C
00,D5,9F,D5,7E,64,D6,27
00,D5,BF,0A,81,64,38,11
00,D5,BF,0F,81,64,04,18
00,D5,BF,49,84,64,42,12
00,D5,DF,0F,80,64,70,19
00,D5,DF,4E,83,64,B8,1B
00,D6,1F,0A,81,64,B6,11
00,D6,1F,0A,83,64,B6,0D
00,D6,1F,0B,80,64,F4,12
00,D6,1F,0D,85,64,E6,1B
00,D6,1F,4A,81,64,BA,0D
00,D6,1F,C8,7E,64,F0,0F
00,D6,3F,0A,81,64,5A,11
00,D6,3F,D1,8A,64,2C,21
00,D6,5F,13,96,00,24,2E
00,D6,5F,CA,80,64,94,11
00,D6,7F,0A,79,64,D4,11
00,D6,9F,49,84,64,A8,11
00,D6,9F,8F,81,64,00,19
00,D6,9F,CD,77,64,1A,1B
00,D6,DF,E5,76,64,B0,4E
00,D6,FF,15,81,64,EA,27
00,D6,FF,C7,7E,64,28,10
00,D6,FF,D3,80,64,B4,2D
00,D6,FF,DB,94,64,20,3F
00,D7,1F,8E,7E,64,8C,16
00,D7,1F,C8,7D,64,AE,11
00,D7,3F,0D,82,64,B6,15
00,D7,3F,93,77,64,E6,1B
00,D7,5F,88,7E,64,3A,10
00,D7,5F,C9,83,64,06,11
00,D7,5F,D4,83,64,96,2E
00,D7,7F,8A,81,64,F4,11
00,D7,7F,92,77,64,0A,26
00,D7,7F,CA,83,64,38,14
00,D7,7F,D5,87,64,48,20
00,D7,9F,C9,85,64,40,0E
